OBJECTID,BLOCK,DISTRICT,STATE,VILLAGE,CODE,Shape_Leng,Shape_Area,TEHSIL
3534,BABAIN,KURUKSHETRA,HARYANA,BINT,B50,8966.397859,2594774.074,BABAIN
3535,BABAIN,KURUKSHETRA,HARYANA,BIR KALWA,B54,10490.75409,2802307.56,BABAIN
3540,BABAIN,KURUKSHETRA,HARYANA,PHALSAKDA JATTAN,P08,5324.777,1438618.774,BABAIN
3558,BABAIN,KURUKSHETRA,HARYANA,TATKA,T08,6885.895435,1367494.442,BABAIN
3563,BABAIN,KURUKSHETRA,HARYANA,DHANANI,D15,7367.972251,2257577.314,BABAIN
3574,BABAIN,KURUKSHETRA,HARYANA,HAMIDPUR,H03,4051.005781,922995.2919,BABAIN
3576,BABAIN,KURUKSHETRA,HARYANA,RAMSARAN MAJRA,R11,14054.92104,6384626.54,BABAIN
3577,BABAIN,KURUKSHETRA,HARYANA,KANUNI,K17,3424.439121,642879.1957,BABAIN
3583,BABAIN,KURUKSHETRA,HARYANA,KHIRKI VIRAN,K41,6944.001636,1188844.762,BABAIN
3692,BABAIN,KURUKSHETRA,HARYANA,SUJRI,S43,5663.693257,1417379.156,BABAIN
3693,BABAIN,KURUKSHETRA,HARYANA,MANDOKHARA,M13,5320.17263,895698.9099,BABAIN
3695,BABAIN,KURUKSHETRA,HARYANA,RAMNAGAR-156,R08,7432.097106,2406443.834,BABAIN
3696,BABAIN,KURUKSHETRA,HARYANA,KASITHAL,K20,7759.095078,1957773.518,BABAIN
3697,BABAIN,KURUKSHETRA,HARYANA,RAMPURA,R10,9470.062207,3088105.153,BABAIN
3703,BABAIN,KURUKSHETRA,HARYANA,BAGRAT,B05,12946.25223,3672881.352,BABAIN
3704,BABAIN,KURUKSHETRA,HARYANA,BHAGWANPUR,B32,7905.39373,2539708.719,BABAIN
3705,BABAIN,KURUKSHETRA,HARYANA,BABAIN,B01,20508.76516,6764094.061,BABAIN
3706,BABAIN,KURUKSHETRA,HARYANA,RURKI,R22,11399.66419,3790425.686,BABAIN
3708,BABAIN,KURUKSHETRA,HARYANA,LOHARA,L06,7184.838629,2694426.933,BABAIN
3723,BABAIN,KURUKSHETRA,HARYANA,RAMNAGAR-112,R07,6686.545744,2274876.051,BABAIN
3724,BABAIN,KURUKSHETRA,HARYANA,KALIRANO,K08,7612.188002,1911683.264,BABAIN
3725,BABAIN,KURUKSHETRA,HARYANA,BHAINI,B33,8327.761604,1779525.2,BABAIN
3730,BABAIN,KURUKSHETRA,HARYANA,BHUKHRI,B43,4683.088941,1499436.98,BABAIN
3732,BABAIN,KURUKSHETRA,HARYANA,JANDAULA,J07,5348.276665,1955945.852,BABAIN
3736,BABAIN,KURUKSHETRA,HARYANA,SANGHOR,S16,11003.84279,6712723.778,BABAIN
3737,BABAIN,KURUKSHETRA,HARYANA,PHALSAKDA RANGRAN,P09,3725.510272,805310.8642,BABAIN
3738,BABAIN,KURUKSHETRA,HARYANA,SIMBALWAL,S34,4443.239187,1007110.535,BABAIN
3739,BABAIN,KURUKSHETRA,HARYANA,MANGAULI RANGRAN,M15,8173.467993,2513825.541,BABAIN
3740,BABAIN,KURUKSHETRA,HARYANA,SUNARIAN,S46,11412.68668,4282413.973,BABAIN
3741,BABAIN,KURUKSHETRA,HARYANA,GUHAN,G19,6499.528779,2005156.192,BABAIN
3742,BABAIN,KURUKSHETRA,HARYANA,KANDOLI,K14,9744.870754,3546294.055,BABAIN
3743,BABAIN,KURUKSHETRA,HARYANA,GHISARPARI,G11,7083.298337,2596419.878,BABAIN
3744,BABAIN,KURUKSHETRA,HARYANA,SUJRA,S42,6870.992282,2009745.616,BABAIN
3745,BABAIN,KURUKSHETRA,HARYANA,HARIPURA,H06,12552.934,4086818.551,BABAIN
3746,BABAIN,KURUKSHETRA,Bir khairi,BIR SUJRA,B60,17073.81963,2375721.885,BABAIN
3747,BABAIN,KURUKSHETRA,HARYANA,ISHERHERI,I05,11021.13238,4904562.387,BABAIN
3748,BABAIN,KURUKSHETRA,HARYANA,BERTHALA,B30,8220.466258,3695459.696,BABAIN
3818,BABAIN,KURUKSHETRA,HARYANA,BIR MANGAULI RANGAN,B56,5808.833366,1129327.664,BABAIN
3819,BABAIN,KURUKSHETRA,HARYANA,LAKHMADI,L02,9607.647991,4859088.33,BABAIN
3820,BABAIN,KURUKSHETRA,HARYANA,BUHAVI,B69,10008.55371,3907475.088,BABAIN
3844,BABAIN,KURUKSHETRA,HARYANA,MANGAULI JATTAN,M14,10163.98343,4876296.001,BABAIN
3868,BABAIN,KURUKSHETRA,HARYANA,KALWA,K12,9910.888383,3119787.435,BABAIN
3879,BABAIN,KURUKSHETRA,HARYANA,KHAIRA,K23,6377.179418,2529973.749,BABAIN
3880,BABAIN,KURUKSHETRA,HARYANA,TATKI,T09,8308.477948,2506067.586,BABAIN
3881,BABAIN,KURUKSHETRA,HARYANA,KHAIRI,K24,12098.96109,6045955.21,BABAIN
3707,BABAIN,KURUKSHETRA,HARYANA,JALALUDIN MAJRA,JO4,9371.021078,3313201.033,LADWA
