OBJECTID,TEHSIL,DISTRICT,STATE,VILLAGE,Shape_Leng,Shape_Area,REALTEHSIL
6,PIPLI,KURUKSHETRA,HARYANA,MATHANA,19153.2141413,14072597.6707,THANESAR
829,THANESAR,KURUKSHETRA,HARYANA,ALAMPUR,6262.22482382,2065212.22926,THANESAR
830,THANESAR,KURUKSHETRA,HARYANA,DIYALPUR,10088.5063602,2247096.96659,THANESAR
831,THANESAR,KURUKSHETRA,HARYANA,SAMSIPUR,10622.1555419,3867023.18854,THANESAR
832,PIPLI,KURUKSHETRA,HARYANA,KHERI MARKANDA,7043.29795923,1344819.38688,THANESAR
833,PIPLI,KURUKSHETRA,HARYANA,AMARGARH MAJHARA,5279.58732029,1042327.87092,THANESAR
834,PIPLI,KURUKSHETRA,HARYANA,SIRSAMA,8691.63573253,3628837.32347,THANESAR
835,PIPLI,KURUKSHETRA,HARYANA,DAULATPUR,8108.15339171,2664804.12839,THANESAR
836,PIPLI,KURUKSHETRA,HARYANA,DEVIDASPUR,5335.65242369,1585025.53811,THANESAR
837,PIPLI,KURUKSHETRA,HARYANA,PIPLI,6832.95888791,1889482.03429,THANESAR
838,PIPLI,KURUKSHETRA,HARYANA,BIR PIPLI,13221.8768803,3429907.32896,THANESAR
839,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR NAWABA,8698.78768423,1800806.06414,THANESAR
840,PIPLI,KURUKSHETRA,HARYANA,RATTAN DERA,8192.92606402,3392965.3465,THANESAR
841,PIPLI,KURUKSHETRA,HARYANA,PARTAPGARH,8770.10919901,1875266.72323,THANESAR
842,PIPLI,KURUKSHETRA,HARYANA,SHADIPUR SHAHABAD,7133.70023753,2662758.71438,THANESAR
843,THANESAR,KURUKSHETRA,HARYANA,ADHAUN,8863.0156979,4027290.58908,THANESAR
844,PIPLI,KURUKSHETRA,HARYANA,PALWAL,8065.27803568,3249164.46114,THANESAR
845,THANESAR,KURUKSHETRA,HARYANA,KHERI BRAHMAN,4474.06726912,1092525.04855,THANESAR
846,THANESAR,KURUKSHETRA,HARYANA,KHERI RAMNAGAR,7108.48074835,2680455.19227,THANESAR
847,THANESAR,KURUKSHETRA,HARYANA,CHANDERBHANPUR,5904.38564108,2015137.78304,THANESAR
848,THANESAR,KURUKSHETRA,HARYANA,SALARPUR,4457.08648866,1280290.80431,THANESAR
849,THANESAR,KURUKSHETRA,HARYANA,ISHARPUR,6733.29807962,2009032.95631,THANESAR
850,THANESAR,KURUKSHETRA,HARYANA,FATUPUR,12296.905811,5252385.09928,THANESAR
851,THANESAR,KURUKSHETRA,HARYANA,JHINJARPUR,13124.7103521,6677563.85434,THANESAR
852,THANESAR,KURUKSHETRA,HARYANA,HATHIRA,10564.5921914,6153919.878829999,THANESAR
853,THANESAR,KURUKSHETRA,HARYANA,KIRMACH,23546.7870907,22144949.2831,THANESAR
854,THANESAR,KURUKSHETRA,HARYANA,SHADIPUR LADWA,4918.79990573,1171092.13865,THANESAR
3511,PIPLI,KURUKSHETRA,HARYANA,CHHARPUR,5333.14501238,1688845.28241,THANESAR
3512,PIPLI,KURUKSHETRA,HARYANA,BIR MATHANA,5737.7373082,1626058.05796,THANESAR
3513,THANESAR,KURUKSHETRA,HARYANA,KAINTHAL KALAN,5405.1670626,1791795.95157,THANESAR
3514,PIPLI,KURUKSHETRA,HARYANA,KISHANGARH,6599.36493863,1721824.35425,THANESAR
